Age,Grade Level,Hours on Social Media,Platforms,Device,Reasons,GPA,Affects Performance,Effect Details,Academic Use Frequency,Academic Use Type,Check Frequency,Overall Effect,Would Perform Better,Reduced Usage,Improvement Noted,Life Impact,Likes,Dislikes,Comments
16-18,College/University,More than 6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Entertainment,3.5-4.0,Yes,"Helps me with research and study groups, Motivates me through educational content, Distracts me from studying",Frequently,"Sharing academic resources, Seeking help from peers/experts, Participating in online discussions",Multiple times per hour,Neutral,Yes,No,No,Mostly positive,Wide range of resources,Improper content,Spend far six prove indicate.
19-21,College/University,5-6 hours,Instagram,Smartphone,"Educational purposes, Professional networking",3.5-4.0,No,Helps me with research and study groups,Occasionally,"Seeking help from peers/experts, Participating in online discussions",Every hour,Neutral,Yes,No,Not sure,Mostly negative,Awareness,It causes procrastination,Without off somebody prove bag.
19-21,College/University,3-4 hours,"WhatsApp, YouTube",Smartphone,"Educational purposes, Socializing with friends",3.0-3.5,Yes,"Causes me to procrastinate, Distracts me from studying, Motivates me through educational content",Frequently,"Joining study groups, Watching educational videos, Sharing academic resources, Seeking help from peers/experts",Once or twice,Neutral,Not sure,No,Not sure,Neutral,Entertainment,It causes procrastination,Purpose heavy person cell art toward.
19-21,College/University,1-2 hours,Instagram,Smartphone,"Entertainment, Educational purposes",2.5-3.0,No,"Motivates me through educational content, Distracts me from studying",Always,"Joining study groups, Sharing academic resources, Watching educational videos",Every hour,Mostly negative,No,Yes,Not sure,Unsure,Awareness,Nothing,Knowledge sign kitchen short.
19-21,College/University,5-6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Professional networking, Socializing with friends, Educational purposes",2.0-2.5,Not sure,"Distracts me from studying, Helps me with research and study groups, Causes me to procrastinate",Always,"Joining study groups, Participating in online discussions",Multiple times per hour,Mostly positive,Not sure,Yes,No,Mostly positive,Entertainment,Information insecurity and rumors,Work according her economic age.
16-18,College/University,More than 6 hours,Instagram,Smartphone,"News and updates, Entertainment",3.0-3.5,Yes,Distracts me from studying,Frequently,Watching educational videos,Multiple times per hour,Mostly positive,Yes,No,No,Mostly negative,It connects the whole world,It causes procrastination,Base bad organization fire.
16-18,College/University,5-6 hours,Instagram,Smartphone,"Professional networking, Entertainment, News and updates",3.5-4.0,Yes,"Distracts me from studying, Helps me with research and study groups",Occasionally,"Participating in online discussions, Joining study groups, Seeking help from peers/experts",Multiple times per hour,Unsure,Yes,Yes,Yes,Mostly negative,Entertainment,Nothing,Task month hand.
19-21,College/University,3-4 hours,Instagram,Laptop,"News and updates, Entertainment",3.5-4.0,No,Causes me to procrastinate,Frequently,"Participating in online discussions, Watching educational videos",Multiple times per hour,Mostly negative,Not sure,Yes,Not sure,Mostly negative,Educational information,Improper content,Sport behavior according place.
Over 21,College/University,1-2 hours,YouTube,Smartphone,Educational purposes,2.5-3.0,No,"Distracts me from studying, Helps me with research and study groups, Causes me to procrastinate",Occasionally,Joining study groups,Once or twice,Unsure,No,No,Yes,Mostly positive,Entertainment,It causes procrastination,Will lay important personal then cold decade.
19-21,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Socializing with friends, Professional networking, Educational purposes",3.5-4.0,Yes,"Causes me to procrastinate, Helps me with research and study groups",Always,"Watching educational videos, Seeking help from peers/experts, Sharing academic resources, Joining study groups",Multiple times per hour,Mostly positive,No,Not sure,Yes,Neutral,Awareness,Improper content,Face federal resource shake wrong show there.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Smartphone,Professional networking,3.0-3.5,Not sure,Distracts me from studying,Occasionally,"Participating in online discussions, Seeking help from peers/experts, Sharing academic resources, Watching educational videos",Once or twice,Mostly negative,Not sure,Not sure,Not sure,Unsure,Awareness,Information insecurity and rumors,Republican out play song.
Over 21,College/University,5-6 hours,YouTube,Laptop,"Professional networking, Socializing with friends, Entertainment",2.5-3.0,Yes,Helps me with research and study groups,Always,"Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Every hour,Neutral,Yes,Not sure,No,Mostly negative,Socializing with friends,It causes procrastination,Different cell during second executive his.
19-21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Entertainment, Educational purposes",3.0-3.5,No,"Motivates me through educational content, Causes me to procrastinate, Helps me with research and study groups",Occasionally,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources, Watching educational videos",Multiple times per hour,Neutral,Yes,Yes,Not sure,Mostly negative,Awareness,Improper content,Report trouble task view teach.
Over 21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Laptop,Socializing with friends,2.0-2.5,Yes,"Causes me to procrastinate, Motivates me through educational content",Frequently,"Sharing academic resources, Watching educational videos, Participating in online discussions, Seeking help from peers/experts",Multiple times per hour,Mostly positive,Not sure,Not sure,Yes,Mostly positive,Wide range of resources,Addiction,Detail hospital matter fine create.
16-18,College/University,3-4 hours,YouTube,Laptop,"Educational purposes, Socializing with friends, Entertainment",3.0-3.5,No,"Helps me with research and study groups, Causes me to procrastinate",Frequently,"Watching educational videos, Sharing academic resources, Seeking help from peers/experts",Once or twice,Unsure,Not sure,Yes,Yes,Mostly positive,Socializing with friends,Nothing,Career owner together sure.
Over 21,College/University,1-2 hours,YouTube,Smartphone,"Entertainment, News and updates, Socializing with friends",3.0-3.5,Yes,"Causes me to procrastinate, Helps me with research and study groups, Distracts me from studying",Frequently,"Seeking help from peers/experts, Participating in online discussions, Joining study groups",Multiple times per hour,Mostly negative,Yes,Yes,No,Mostly positive,Awareness,Information insecurity and rumors,Parent glass take.
19-21,College/University,5-6 hours,Instagram,Smartphone,"Professional networking, News and updates",3.0-3.5,Yes,"Helps me with research and study groups, Causes me to procrastinate, Distracts me from studying",Frequently,"Seeking help from peers/experts, Joining study groups",Every hour,Unsure,Not sure,Yes,No,Neutral,Wide range of resources,Nothing,Ask thousand middle support attack attack.
Over 21,College/University,Less than 1 hour,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,Professional networking,2.5-3.0,Yes,"Distracts me from studying, Helps me with research and study groups, Motivates me through educational content",Frequently,Sharing academic resources,Once or twice,Mostly negative,No,Yes,Yes,Mostly negative,Entertainment,Addiction,Toward family heavy for bit probably site.
19-21,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Educational purposes, Entertainment, News and updates",2.0-2.5,No,"Helps me with research and study groups, Motivates me through educational content, Causes me to procrastinate",Frequently,"Joining study groups, Seeking help from peers/experts, Participating in online discussions, Sharing academic resources",Once or twice,Mostly positive,Not sure,Yes,Yes,Mostly negative,Awareness,Information insecurity and rumors,Growth crime development instead power.
19-21,College/University,1-2 hours,Instagram,Laptop,"Entertainment, News and updates, Socializing with friends",2.0-2.5,Yes,Distracts me from studying,Always,Watching educational videos,Multiple times per hour,Neutral,Not sure,Yes,Yes,Mostly positive,Educational information,Distraction,Evening important foreign still.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,Educational purposes,3.5-4.0,Yes,Motivates me through educational content,Always,Watching educational videos,Once or twice,Mostly positive,Not sure,Yes,Yes,Mostly negative,Entertainment,It causes procrastination,Someone particular enter admit know rate.
19-21,College/University,3-4 hours,YouTube,Smartphone,"Professional networking, Entertainment, News and updates",2.5-3.0,Yes,Helps me with research and study groups,Frequently,"Participating in online discussions, Joining study groups, Watching educational videos",Every hour,Mostly positive,No,Not sure,Yes,Neutral,Awareness,Addiction,System song research support floor not.
19-21,College/University,3-4 hours,Instagram,Laptop,News and updates,2.5-3.0,Yes,"Causes me to procrastinate, Helps me with research and study groups, Motivates me through educational content",Always,"Joining study groups, Participating in online discussions, Sharing academic resources",Every hour,Mostly negative,No,No,No,Unsure,Entertainment,Addiction,If car Democrat state scientist democratic area.
16-18,College/University,Less than 1 hour,YouTube,Smartphone,"Entertainment, Socializing with friends",2.5-3.0,Yes,Motivates me through educational content,Occasionally,Participating in online discussions,Once or twice,Mostly positive,Not sure,Not sure,Not sure,Mostly negative,Socializing with friends,Distraction,Loss service attorney blue north step always office.
16-18,College/University,More than 6 hours,"WhatsApp, YouTube",Laptop,"Professional networking, News and updates, Educational purposes",2.0-2.5,Yes,Distracts me from studying,Always,"Joining study groups, Seeking help from peers/experts",Every hour,Unsure,Yes,Not sure,Yes,Unsure,Educational information,It causes procrastination,Whether learn also sure land quite establish.
19-21,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Laptop,"News and updates, Educational purposes",2.0-2.5,Yes,"Motivates me through educational content, Causes me to procrastinate, Helps me with research and study groups",Occasionally,"Joining study groups, Watching educational videos, Sharing academic resources, Participating in online discussions",Once or twice,Mostly negative,Not sure,Yes,Yes,Unsure,Entertainment,Distraction,Theory leader entire million.
19-21,College/University,3-4 hours,"Instagram, Snapchat, WhatsApp",Laptop,"News and updates, Socializing with friends, Professional networking",3.0-3.5,Not sure,Distracts me from studying,Occasionally,"Sharing academic resources, Watching educational videos, Seeking help from peers/experts",Once or twice,Neutral,Yes,Not sure,No,Neutral,Socializing with friends,Nothing,Sense produce mission shoulder.
Over 21,College/University,3-4 hours,"WhatsApp, YouTube",Smartphone,"Educational purposes, Professional networking",3.0-3.5,Not sure,"Motivates me through educational content, Helps me with research and study groups",Always,"Seeking help from peers/experts, Sharing academic resources",Every hour,Mostly positive,Not sure,Not sure,Not sure,Neutral,It connects the whole world,Nothing,Growth large half save move mother.
Over 21,College/University,More than 6 hours,"Instagram, WhatsApp",Smartphone,Educational purposes,3.5-4.0,Yes,"Distracts me from studying, Causes me to procrastinate",Always,"Sharing academic resources, Seeking help from peers/experts, Participating in online discussions",Every hour,Neutral,No,No,Yes,Unsure,Socializing with friends,Distraction,Modern college war board.
19-21,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Educational purposes",3.0-3.5,Not sure,Distracts me from studying,Always,Watching educational videos,Multiple times per hour,Unsure,Not sure,Not sure,No,Mostly positive,Wide range of resources,Improper content,Social loss leg street get near summer.
19-21,College/University,3-4 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Socializing with friends, Entertainment",3.5-4.0,Yes,"Distracts me from studying, Causes me to procrastinate",Occasionally,"Sharing academic resources, Seeking help from peers/experts, Watching educational videos",Multiple times per hour,Unsure,No,No,Not sure,Mostly negative,Entertainment,Addiction,Accept respond large show more far.
19-21,College/University,More than 6 hours,"Instagram, Snapchat, WhatsApp",Laptop,"News and updates, Socializing with friends",3.0-3.5,Yes,Helps me with research and study groups,Occasionally,Participating in online discussions,Once or twice,Unsure,Yes,No,Not sure,Neutral,Wide range of resources,Distraction,Total number since key.
19-21,College/University,3-4 hours,YouTube,Smartphone,Socializing with friends,3.5-4.0,No,"Helps me with research and study groups, Distracts me from studying, Causes me to procrastinate",Occasionally,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources, Watching educational videos",Once or twice,Mostly positive,No,Yes,Not sure,Mostly positive,Wide range of resources,Nothing,Edge partner part get lay decide.
19-21,College/University,5-6 hours,"Instagram, Snapchat, WhatsApp",Smartphone,"News and updates, Educational purposes, Socializing with friends",3.5-4.0,No,Motivates me through educational content,Always,"Participating in online discussions, Seeking help from peers/experts, Watching educational videos, Sharing academic resources",Once or twice,Mostly negative,Not sure,Yes,No,Mostly negative,Entertainment,Information insecurity and rumors,Your focus attention.
19-21,College/University,5-6 hours,Instagram,Laptop,"Professional networking, Socializing with friends",3.0-3.5,No,"Causes me to procrastinate, Helps me with research and study groups",Occasionally,"Joining study groups, Participating in online discussions, Sharing academic resources, Watching educational videos",Once or twice,Mostly positive,Not sure,No,No,Neutral,Socializing with friends,Information insecurity and rumors,Stock bill control social involve.
16-18,College/University,More than 6 hours,Instagram,Laptop,Professional networking,3.0-3.5,No,"Motivates me through educational content, Distracts me from studying, Causes me to procrastinate",Always,Watching educational videos,Once or twice,Unsure,No,No,Yes,Unsure,Wide range of resources,It causes procrastination,Save control public increase century number.
19-21,College/University,3-4 hours,"Instagram, WhatsApp",Laptop,"Professional networking, News and updates",2.5-3.0,Yes,Motivates me through educational content,Occasionally,"Seeking help from peers/experts, Sharing academic resources",Every hour,Mostly negative,Yes,Not sure,Yes,Mostly negative,Entertainment,Information insecurity and rumors,Party everybody hit.
16-18,College/University,5-6 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"News and updates, Socializing with friends",2.5-3.0,Yes,"Causes me to procrastinate, Distracts me from studying",Occasionally,"Sharing academic resources, Joining study groups, Watching educational videos, Participating in online discussions",Every hour,Mostly positive,Yes,No,No,Mostly negative,It connects the whole world,Nothing,Fill boy build dream size tough.
19-21,College/University,More than 6 hours,"WhatsApp, YouTube",Laptop,Educational purposes,3.0-3.5,Yes,Motivates me through educational content,Always,"Sharing academic resources, Seeking help from peers/experts, Participating in online discussions, Joining study groups",Once or twice,Unsure,No,Not sure,Not sure,Neutral,Entertainment,Nothing,Statement above strategy understand side follow.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,Professional networking,2.5-3.0,Yes,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Always,"Watching educational videos, Participating in online discussions, Sharing academic resources",Every hour,Mostly positive,Not sure,No,Not sure,Unsure,Socializing with friends,Distraction,Fast grow collection foreign.
16-18,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,Professional networking,2.5-3.0,No,Distracts me from studying,Frequently,"Joining study groups, Participating in online discussions",Once or twice,Mostly negative,No,No,No,Neutral,It connects the whole world,Distraction,Knowledge knowledge return character personal.
16-18,College/University,3-4 hours,YouTube,Smartphone,"Socializing with friends, Educational purposes",3.5-4.0,No,"Motivates me through educational content, Causes me to procrastinate, Distracts me from studying",Frequently,"Participating in online discussions, Joining study groups, Sharing academic resources, Watching educational videos",Once or twice,Neutral,Yes,No,Not sure,Neutral,Educational information,Nothing,Eye yard team political.
19-21,College/University,5-6 hours,YouTube,Smartphone,"Educational purposes, Socializing with friends, Entertainment",2.5-3.0,Yes,"Causes me to procrastinate, Distracts me from studying, Motivates me through educational content",Frequently,"Watching educational videos, Sharing academic resources, Participating in online discussions, Joining study groups",Once or twice,Mostly negative,No,No,Yes,Mostly negative,It connects the whole world,Nothing,Loss hit amount make.
16-18,College/University,1-2 hours,"WhatsApp, YouTube",Smartphone,"News and updates, Professional networking",3.5-4.0,Yes,Motivates me through educational content,Frequently,"Participating in online discussions, Joining study groups",Every hour,Neutral,No,Not sure,No,Neutral,Wide range of resources,Distraction,Citizen present program might step join score.
19-21,College/University,Less than 1 hour,Instagram,Laptop,"Educational purposes, Entertainment",2.5-3.0,Yes,Causes me to procrastinate,Always,"Seeking help from peers/experts, Participating in online discussions, Sharing academic resources, Watching educational videos",Multiple times per hour,Mostly negative,Not sure,Not sure,Not sure,Mostly negative,Awareness,Distraction,Design employee another at treatment beyond.
19-21,College/University,5-6 hours,Instagram,Smartphone,Entertainment,2.0-2.5,No,"Distracts me from studying, Helps me with research and study groups",Occasionally,"Joining study groups, Watching educational videos",Once or twice,Neutral,No,No,Yes,Mostly positive,Educational information,Addiction,Body source candidate stand.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Smartphone,Entertainment,3.0-3.5,Yes,"Distracts me from studying, Motivates me through educational content, Causes me to procrastinate",Occasionally,"Joining study groups, Participating in online discussions",Every hour,Unsure,Yes,Not sure,Yes,Mostly negative,Entertainment,It causes procrastination,Course during every involve plan peace.
19-21,College/University,More than 6 hours,"Facebook, Instagram, WhatsApp",Smartphone,Entertainment,2.5-3.0,Yes,"Causes me to procrastinate, Helps me with research and study groups",Occasionally,"Sharing academic resources, Seeking help from peers/experts",Once or twice,Unsure,Yes,Yes,Not sure,Unsure,Entertainment,Nothing,Compare force enough thousand look everything.
19-21,College/University,Less than 1 hour,"Instagram, Snapchat, WhatsApp",Smartphone,"Professional networking, Educational purposes",3.5-4.0,Yes,"Helps me with research and study groups, Distracts me from studying",Always,"Participating in online discussions, Seeking help from peers/experts",Every hour,Unsure,Not sure,No,No,Unsure,Educational information,Improper content,Job daughter memory.
19-21,College/University,1-2 hours,"Facebook, Instagram, WhatsApp",Smartphone,Professional networking,3.5-4.0,Yes,"Motivates me through educational content, Helps me with research and study groups",Occasionally,"Participating in online discussions, Watching educational videos, Sharing academic resources, Seeking help from peers/experts",Once or twice,Unsure,Yes,Not sure,Yes,Neutral,Wide range of resources,Information insecurity and rumors,Level her public politics myself religious several.
19-21,College/University,3-4 hours,"Facebook, Instagram, WhatsApp",Smartphone,"Professional networking, Educational purposes, Entertainment",3.0-3.5,Yes,"Causes me to procrastinate, Distracts me from studying",Occasionally,"Joining study groups, Watching educational videos, Participating in online discussions",Multiple times per hour,Neutral,No,Yes,Yes,Unsure,It connects the whole world,Improper content,Something while nearly effort key.
19-21,College/University,5-6 hours,"WhatsApp, YouTube",Laptop,Socializing with friends,3.0-3.5,Yes,Helps me with research and study groups,Frequently,"Participating in online discussions, Joining study groups",Once or twice,Mostly negative,Yes,Not sure,Yes,Neutral,Socializing with friends,Information insecurity and rumors,Enjoy project might camera show old wall.
19-21,College/University,1-2 hours,"Facebook, Instagram, Twitter, Snapchat, TikTok, WhatsApp",Smartphone,"Professional networking, Educational purposes",2.5-3.0,No,Causes me to procrastinate,Frequently,"Seeking help from peers/experts, Joining study groups, Participating in online discussions",Once or twice,Unsure,Not sure,Not sure,Not sure,Mostly positive,Wide range of resources,Information insecurity and rumors,Note PM hour happy shake market.
19-21,College/University,Less than 1 hour,YouTube,Smartphone,"Educational purposes, Entertainment, Professional networking",2.0-2.5,Yes,Helps me with research and study groups,Frequently,"Sharing academic resources, Seeking help from peers/experts, Joining study groups, Participating in online discussions",Once or twice,Neutral,Not sure,No,Not sure,Mostly positive,It connects the whole world,It causes procrastination,Rule alone car candidate ten class.
